Codelist_Name,ERAP_Number,Project_Title,Author,Coding System,Year_Created,DOI_Publication,Path_to_Codelist,Codelist on Github
Transfusion,21_000380,Respiratory infection related cardiovascular disease,Joseph Lee,Aurum,2020,,https://github.com/Protocols-For-Research/CPRD-codes-CVD-infection-risk/blob/main/Bleeding%20and%20negative%20outcomes/Aurum_transfusion_codelist_220323.txt,Yes
Transfusion,21_000380,Respiratory infection related cardiovascular disease,Joseph Lee,Gold,2020,,https://github.com/Protocols-For-Research/CPRD-codes-CVD-infection-risk/blob/main/Bleeding%20and%20negative%20outcomes/Gold_transfusion_codelist_220323.txt,Yes
Triglycerides Level,22_002449,Excess Weight and Mental Health,Min Gao,Aurum,2024,,https://github.com/ndpchs-cprd/22-002449-Excess_Body_Weight/blob/main/Codelists/Covariates/Min_CL_Triglycerides.txt,Yes
Ulcerative Colitis,22_001273,Evaluation of Anaemia in a Primary Care Population,Alvin Katumba,Aurum,2024,,https://github.com/ndpchs-cprd/22-001873-Evaluation_of_Anaemia_in-Primary_Care_Population/blob/main/Codelists/VM_CL_UlcerativeColitis.txt,Yes
Unemployment,22-001771,COMPUTE,Cynthia Wrght Drakesmith,Aurum,2023,,https://github.com/ndpchs-cprd/CPRD-22-001771-CoMPuTe/blob/main/Codelists/Riskfactors/Unemployment_with_SNOMED_Update.csv,Yes
Urinary Tract Infection (UTI) - Acute,21_000380,Respiratory infection related cardiovascular disease,Joseph Lee,Aurum,2020,,https://github.com/Protocols-For-Research/CPRD-codes-CVD-infection-risk/blob/main/Aurum_AcuteUTI_codelist_300323.txt,Yes
Urinary Tract Infection (UTI) - Acute,21_000380,Respiratory infection related cardiovascular disease,Joseph Lee,Gold,2020,,https://github.com/Protocols-For-Research/CPRD-codes-CVD-infection-risk/blob/main/Gold_AcuteUTI_codelist_300323.txt,Yes
Urine albumin : creatinine ratio,22-001771,COMPUTE,Cynthia Wrght Drakesmith,Aurum,2023,,https://github.com/ndpchs-cprd/CPRD-22-001771-CoMPuTe/blob/main/Codelists/Biomarkers/UrioneAbuminCreatinineRatio_with_SNOMED_Update.csv,Yes
Urine albumin level,22-001771,COMPUTE,Cynthia Wrght Drakesmith,Aurum,2023,,https://github.com/ndpchs-cprd/CPRD-22-001771-CoMPuTe/blob/main/Codelists/Biomarkers/UrineAlbumin_with_SNOMED_Update.csv,Yes
Urine creatinine level,22-001771,COMPUTE,Cynthia Wrght Drakesmith,Aurum,2023,,https://github.com/ndpchs-cprd/CPRD-22-001771-CoMPuTe/blob/main/Codelists/Biomarkers/UrineCreatinineLevel_with_SNOMED_Update.csv,Yes
Urine protein level,22-001771,COMPUTE,Cynthia Wrght Drakesmith,Aurum,2023,,https://github.com/ndpchs-cprd/CPRD-22-001771-CoMPuTe/blob/main/Codelists/Biomarkers/UrineProtein_with_SNOMED_Update.csv,Yes
Urine urea level,22-001771,COMPUTE,Cynthia Wrght Drakesmith,Aurum,2023,,https://github.com/ndpchs-cprd/CPRD-22-001771-CoMPuTe/blob/main/Codelists/Biomarkers/Urea_Urine_with_SNOMED_Update.csv,Yes
Visual Impairment,22-000453,ID Fracture,Margaret Smith,Aurum,2024,,https://github.com/ndpchs-cprd/21-000433-Aurum-IDFracture/blob/main/Codelists/standardized_visual%20impairment.csv,Yes
Visual Impairment,22-000453,ID Fracture,Margaret Smith,Gold,2024,,https://github.com/ndpchs-cprd/18-186-Gold-IDFracture/blob/main/Codelists/standardized_visual%20impairment.csv,Yes
Waist Circumference,22_002449,Excess Weight and Mental Health,Min Gao,Aurum,2024,,https://github.com/ndpchs-cprd/22-002449-Excess_Body_Weight/blob/main/Codelists/Exposures/Min_WaistCirc_20240220.txt,Yes
Waist/Hip Ratio,22_002449,Excess Weight and Mental Health,Min Gao,Aurum,2024,,https://github.com/ndpchs-cprd/22-002449-Excess_Body_Weight/blob/main/Codelists/Exposures/Min_WaistHip_20240220.txt,Yes
Weight,22-001771,COMPUTE,Cynthia Wrght Drakesmith,Aurum,2023,,https://github.com/ndpchs-cprd/CPRD-22-001771-CoMPuTe/blob/main/Codelists/Biomarkers/Weight_with_SNOMED_Update.csv,Yes
Weight,22-000453,ID Fracture,Margaret Smith,Aurum,2024,,https://github.com/ndpchs-cprd/21-000433-Aurum-IDFracture/blob/main/Codelists/standardized_weight.csv,Yes
Weight,22_002449,Excess Weight and Mental Health,Min Gao,Aurum,2024,,https://github.com/ndpchs-cprd/22-002449-Excess_Body_Weight/blob/main/Codelists/Exposures/Min_Weight_20240220.txt,Yes
Weight Gain - Unexpected,22_002449,Excess Weight and Mental Health,Min Gao,Aurum,2024,,https://github.com/ndpchs-cprd/22-002449-Excess_Body_Weight/blob/main/Codelists/Covariates/Min_CL_Unexpectedweightgain.txt,Yes
Weight Loss - Intentional,22_002449,Excess Weight and Mental Health,Min Gao,Aurum,2024,,https://github.com/ndpchs-cprd/22-002449-Excess_Body_Weight/blob/main/Codelists/Covariates/Min_CL_intentionalweightloss.txt,Yes
Weight Loss - Unexpected,22_002449,Excess Weight and Mental Health,Min Gao,Aurum,2024,,https://github.com/ndpchs-cprd/22-002449-Excess_Body_Weight/blob/main/Codelists/Covariates/Min_CL_Unexpectedweightloss.txt,Yes
Weight Management - Advice,22_002449,Excess Weight and Mental Health,Min Gao,Aurum,2024,,https://github.com/ndpchs-cprd/22-002449-Excess_Body_Weight/blob/main/Codelists/Exposures/Min_CL_Weightmanagementadvice.txt,Yes
Weight Management - Referral,22_002449,Excess Weight and Mental Health,Min Gao,Aurum,2024,,https://github.com/ndpchs-cprd/22-002449-Excess_Body_Weight/blob/main/Codelists/Exposures/Min_CL_Weightmanagementreferral.txt,Yes
White blood cell count (WCC),22-001771,COMPUTE,Cynthia Wrght Drakesmith,Aurum,2023,,https://github.com/ndpchs-cprd/CPRD-22-001771-CoMPuTe/blob/main/Codelists/Biomarkers/WhiteBloodCellCount_with_SNOMED_Update.csv,Yes
Alcohol - Advice,23_002466,Consultation Catergorisation,Laura Heath,Aurum,2024,,https://github.com/ndpchs-cprd/23-002466/blob/main/Codelists/alcohol_advice.txt,Yes
Alcohol - Referral,23_002466,Consultation Catergorisation,Laura Heath,Aurum,2024,,https://github.com/ndpchs-cprd/23-002466/blob/main/Codelists/alcohol_referral.txt,Yes
Palliative Care,23_002466,Consultation Catergorisation,Laura Heath,Aurum,2024,,https://github.com/ndpchs-cprd/23-002466/blob/main/Codelists/palliative.txt,Yes
Physical Activity - Advice,23_002466,Consultation Catergorisation,Laura Heath,Aurum,2024,,https://github.com/ndpchs-cprd/23-002466/blob/main/Codelists/physical%20activity_advice.txt,Yes
Physical Activiy - Referral,23_002466,Consultation Catergorisation,Laura Heath,Aurum,2024,,https://github.com/ndpchs-cprd/23-002466/blob/main/Codelists/physical%20activity_referral.txt,Yes
Smoking - Advice,23_002466,Consultation Catergorisation,Laura Heath,Aurum,2024,,https://github.com/ndpchs-cprd/23-002466/blob/main/Codelists/smoking_advice.txt,Yes
Smoking - Referral,23_002466,Consultation Catergorisation,Laura Heath,Aurum,2024,,https://github.com/ndpchs-cprd/23-002466/blob/main/Codelists/smoking_referral.txt,Yes
Weight - Advice,23_002466,Consultation Catergorisation,Laura Heath,Aurum,2024,,https://github.com/ndpchs-cprd/23-002466/blob/main/Codelists/weight_advice.txt,Yes
Weight - Referral,23_002466,Consultation Catergorisation,Laura Heath,Aurum,2024,,https://github.com/ndpchs-cprd/23-002466/blob/main/Codelists/weight_referral.txt,Yes
Alcohol Status - Alcohol Dependence,21_002323,CanBack,Aron Downie,Aurum,2024,,https://github.com/ndpchs-cprd/12-21-002323-CanBack/blob/main/Codelists/Alcohol_status_Alcohol_dependence.csv,Yes
Alcohol Status - Current Drinker,21_002323,CanBack,Aron Downie,Aurum,2024,,https://github.com/ndpchs-cprd/12-21-002323-CanBack/blob/main/Codelists/Alcohol_status_current_drinker.csv,Yes
Alcohol Status - Current Hazard Drinker,21_002323,CanBack,Aron Downie,Aurum,2024,,https://github.com/ndpchs-cprd/12-21-002323-CanBack/blob/main/Codelists/Alcohol_status_current_drinker_hazard.csv,Yes
Alcohol Status - Non Drinker,21_002323,CanBack,Aron Downie,Aurum,2024,,https://github.com/ndpchs-cprd/12-21-002323-CanBack/blob/main/Codelists/Alcohol_status_non_drinker.csv,Yes
Alcohol Status - Past Drinker,21_002323,CanBack,Aron Downie,Aurum,2024,,https://github.com/ndpchs-cprd/12-21-002323-CanBack/blob/main/Codelists/Alcohol_status_past_drinker.csv,Yes
Gout - Arthritis Inflammatory,21_002323,CanBack,Aron Downie,Aurum,2024,,https://github.com/ndpchs-cprd/12-21-002323-CanBack/blob/main/Codelists/Arthritis_inflammatory_Gout.csv,Yes
Arthritis Inflammatory - Other Inflammatory,21_002323,CanBack,Aron Downie,Aurum,2024,,https://github.com/ndpchs-cprd/12-21-002323-CanBack/blob/main/Codelists/Arthritis_inflammatory_Other_Inflammatory.csv,Yes
Polymyalgia Rheumatica - Arthritis Inflammatory,21_002323,CanBack,Aron Downie,Aurum,2024,,https://github.com/ndpchs-cprd/12-21-002323-CanBack/blob/main/Codelists/Arthritis_inflammatory_Polymyalgia_rheumatica.csv,Yes
Psoriatic Arthritis - Arthritis Inflammatory,21_002323,CanBack,Aron Downie,Aurum,2024,,https://github.com/ndpchs-cprd/12-21-002323-CanBack/blob/main/Codelists/Arthritis_inflammatory_Psoriatic_arthritis.csv,Yes
Rheumatoid Arthritis - Arthritis Inflammatory,21_002323,CanBack,Aron Downie,Aurum,2024,,https://github.com/ndpchs-cprd/12-21-002323-CanBack/blob/main/Codelists/Arthritis_inflammatory_Rheumatoid_arthritis.csv,Yes
Systemic Lupus Erythematosus - Arthritis Inflammatory,21_002323,CanBack,Aron Downie,Aurum,2024,,https://github.com/ndpchs-cprd/12-21-002323-CanBack/blob/main/Codelists/Arthritis_inflammatory_SLE.csv,Yes
Osteoarthritis - Arthritis Non-Inflammatory,21_002323,CanBack,Aron Downie,Aurum,2024,,https://github.com/ndpchs-cprd/12-21-002323-CanBack/blob/main/Codelists/Arthritis_non-inflammatory_Osteoarthritis.csv,Yes
Body Mass Index (BMI),21_002323,CanBack,Aron Downie,Aurum,2024,,https://github.com/ndpchs-cprd/12-21-002323-CanBack/blob/main/Codelists/BMI_BMI.csv,Yes
Cancer - Anal,21_002323,CanBack,Aron Downie,Aurum,2024,,https://github.com/ndpchs-cprd/12-21-002323-CanBack/blob/main/Codelists/Cancer_Anal.csv,Yes
Cancer - Biliary,21_002323,CanBack,Aron Downie,Aurum,2024,,https://github.com/ndpchs-cprd/12-21-002323-CanBack/blob/main/Codelists/Cancer_Biliary.csv,Yes
Cancer - Bladder,21_002323,CanBack,Aron Downie,Aurum,2024,,https://github.com/ndpchs-cprd/12-21-002323-CanBack/blob/main/Codelists/Cancer_Bladder.csv,Yes
Cancer - Bone,21_002323,CanBack,Aron Downie,Aurum,2024,,https://github.com/ndpchs-cprd/12-21-002323-CanBack/blob/main/Codelists/Cancer_Bone.csv,Yes
Cancer- Brain,21_002323,CanBack,Aron Downie,Aurum,2024,,https://github.com/ndpchs-cprd/12-21-002323-CanBack/blob/main/Codelists/Cancer_Brain.csv,Yes
Cancer - Breast,21_002323,CanBack,Aron Downie,Aurum,2024,,https://github.com/ndpchs-cprd/12-21-002323-CanBack/blob/main/Codelists/Cancer_Breast.csv,Yes
Cancer - Central Nervous System (CNS),21_002323,CanBack,Aron Downie,Aurum,2024,,https://github.com/ndpchs-cprd/12-21-002323-CanBack/blob/main/Codelists/Cancer_CNS.csv,Yes
Cancer - Cervix,21_002323,CanBack,Aron Downie,Aurum,2024,,https://github.com/ndpchs-cprd/12-21-002323-CanBack/blob/main/Codelists/Cancer_Cervix.csv,Yes
Cancer - Colon,21_002323,CanBack,Aron Downie,Aurum,2024,,https://github.com/ndpchs-cprd/12-21-002323-CanBack/blob/main/Codelists/Cancer_Cervix.csv,Yes
Cancer - Colorectal,21_002323,CanBack,Aron Downie,Aurum,2024,,https://github.com/ndpchs-cprd/12-21-002323-CanBack/blob/main/Codelists/Cancer_Colon.csv,Yes
Cancer - Soft Tissue,21_002323,CanBack,Aron Downie,Aurum,2024,,https://github.com/ndpchs-cprd/12-21-002323-CanBack/blob/main/Codelists/Cancer_Colorectal.csv,Yes
Cancer - Connective and Soft Tissue,21_002323,CanBack,Aron Downie,Aurum,2024,,https://github.com/ndpchs-cprd/12-21-002323-CanBack/blob/main/Codelists/Cancer_Connective%20and%20soft%20tissue.csv,Yes
Cancer - Connective Tissue,21_002323,CanBack,Aron Downie,Aurum,2024,,https://github.com/ndpchs-cprd/12-21-002323-CanBack/blob/main/Codelists/Cancer_Connective%20tissue.csv,Yes
Cancer - Endocrine,21_002323,CanBack,Aron Downie,Aurum,2024,,https://github.com/ndpchs-cprd/12-21-002323-CanBack/blob/main/Codelists/Cancer_Endocrine.csv,Yes
Cancer - Eye,21_002323,CanBack,Aron Downie,Aurum,2024,,https://github.com/ndpchs-cprd/12-21-002323-CanBack/blob/main/Codelists/Cancer_Eye.csv,Yes
Cancer - Gallbladder,21_002323,CanBack,Aron Downie,Aurum,2024,,https://github.com/ndpchs-cprd/12-21-002323-CanBack/blob/main/Codelists/Cancer_Gallbladder.csv,Yes
Cancer - Gastric,21_002323,CanBack,Aron Downie,Aurum,2024,,https://github.com/ndpchs-cprd/12-21-002323-CanBack/blob/main/Codelists/Cancer_Gastric.csv,Yes
Cancer - Head and Neck,21_002323,CanBack,Aron Downie,Aurum,2024,,https://github.com/ndpchs-cprd/12-21-002323-CanBack/blob/main/Codelists/Cancer_Head%20and%20neck.csv,Yes
Cancer - Kidney,21_002323,CanBack,Aron Downie,Aurum,2024,,https://github.com/ndpchs-cprd/12-21-002323-CanBack/blob/main/Codelists/Cancer_Kidney.csv,Yes
Cancer - Leukaemia,21_002323,CanBack,Aron Downie,Aurum,2024,,https://github.com/ndpchs-cprd/12-21-002323-CanBack/blob/main/Codelists/Cancer_Leukaemia.csv,Yes
Cancer - Leukemia,21_002323,CanBack,Aron Downie,Aurum,2024,,https://github.com/ndpchs-cprd/12-21-002323-CanBack/blob/main/Codelists/Cancer_Leukemia.csv,Yes
Cancer - Liver,21_002323,CanBack,Aron Downie,Aurum,2024,,https://github.com/ndpchs-cprd/12-21-002323-CanBack/blob/main/Codelists/Cancer_Liver.csv,Yes
Cancer - Lung,21_002323,CanBack,Aron Downie,Aurum,2024,,https://github.com/ndpchs-cprd/12-21-002323-CanBack/blob/main/Codelists/Cancer_Lung.csv,Yes
Cancer - Lymphoma,21_002323,CanBack,Aron Downie,Aurum,2024,,https://github.com/ndpchs-cprd/12-21-002323-CanBack/blob/main/Codelists/Cancer_Lymphoma.csv,Yes
Cancer - Melanoma of Skin,21_002323,CanBack,Aron Downie,Aurum,2024,,https://github.com/ndpchs-cprd/12-21-002323-CanBack/blob/main/Codelists/Cancer_Melanoma%20of%20skin.csv,Yes
Cancer - Melanoma,21_002323,CanBack,Aron Downie,Aurum,2024,,https://github.com/ndpchs-cprd/12-21-002323-CanBack/blob/main/Codelists/Cancer_Melanoma.csv,Yes
Cancer - Meninge,21_002323,CanBack,Aron Downie,Aurum,2024,,https://github.com/ndpchs-cprd/12-21-002323-CanBack/blob/main/Codelists/Cancer_Meninge.csv,Yes
Cancer - Meninges,21_002323,CanBack,Aron Downie,Aurum,2024,,https://github.com/ndpchs-cprd/12-21-002323-CanBack/blob/main/Codelists/Cancer_Meninges.csv,Yes
Cancer - Myeloma,21_002323,CanBack,Aron Downie,Aurum,2024,,https://github.com/ndpchs-cprd/12-21-002323-CanBack/blob/main/Codelists/Cancer_Myeloma.csv,Yes
Cancer - Oesophagus,21_002323,CanBack,Aron Downie,Aurum,2024,,https://github.com/ndpchs-cprd/12-21-002323-CanBack/blob/main/Codelists/Cancer_Oesophagus.csv,Yes
Cancer - Other Female,21_002323,CanBack,Aron Downie,Aurum,2024,,https://github.com/ndpchs-cprd/12-21-002323-CanBack/blob/main/Codelists/Cancer_Other%20female.csv,Yes
Cancer - Other Haemotological,21_002323,CanBack,Aron Downie,Aurum,2024,,https://github.com/ndpchs-cprd/12-21-002323-CanBack/blob/main/Codelists/Cancer_Other%20haematological.csv,Yes
Cancer - Other Male,21_002323,CanBack,Aron Downie,Aurum,2024,,https://github.com/ndpchs-cprd/12-21-002323-CanBack/blob/main/Codelists/Cancer_Other%20male.csv,Yes
Cancer - Other Thoracic,21_002323,CanBack,Aron Downie,Aurum,2024,,https://github.com/ndpchs-cprd/12-21-002323-CanBack/blob/main/Codelists/Cancer_Other%20thoracic.csv,Yes
Cancer - Other,21_002323,CanBack,Aron Downie,Aurum,2024,,https://github.com/ndpchs-cprd/12-21-002323-CanBack/blob/main/Codelists/Cancer_Other.csv,Yes
Cancer - Ovarian,21_002323,CanBack,Aron Downie,Aurum,2024,,https://github.com/ndpchs-cprd/12-21-002323-CanBack/blob/main/Codelists/Cancer_Ovarian.csv,Yes
Cancer - Ovary,21_002323,CanBack,Aron Downie,Aurum,2024,,https://github.com/ndpchs-cprd/12-21-002323-CanBack/blob/main/Codelists/Cancer_Ovary.csv,Yes
Cancer - Pancreas,21_002323,CanBack,Aron Downie,Aurum,2024,,https://github.com/ndpchs-cprd/12-21-002323-CanBack/blob/main/Codelists/Cancer_Pancreas.csv,Yes
Cancer - Papiliary,21_002323,CanBack,Aron Downie,Aurum,2024,,https://github.com/ndpchs-cprd/12-21-002323-CanBack/blob/main/Codelists/Cancer_Papiliary.csv,Yes
Cancer - Penis,21_002323,CanBack,Aron Downie,Aurum,2024,,https://github.com/ndpchs-cprd/12-21-002323-CanBack/blob/main/Codelists/Cancer_Penis.csv,Yes
Cancer - Prostate,21_002323,CanBack,Aron Downie,Aurum,2024,,https://github.com/ndpchs-cprd/12-21-002323-CanBack/blob/main/Codelists/Cancer_Prostate.csv,Yes
Cancer - Rectum,21_002323,CanBack,Aron Downie,Aurum,2024,,https://github.com/ndpchs-cprd/12-21-002323-CanBack/blob/main/Codelists/Cancer_Rectum.csv,Yes
Cancer - Secondary Cancer,21_002323,CanBack,Aron Downie,Aurum,2024,,https://github.com/ndpchs-cprd/12-21-002323-CanBack/blob/main/Codelists/Cancer_Secondary%20cancer.csv,Yes
Cancer - Small Intestine,21_002323,CanBack,Aron Downie,Aurum,2024,,https://github.com/ndpchs-cprd/12-21-002323-CanBack/blob/main/Codelists/Cancer_Small%20intestine.csv,Yes
Cancer - Spine,21_002323,CanBack,Aron Downie,Aurum,2024,,https://github.com/ndpchs-cprd/12-21-002323-CanBack/blob/main/Codelists/Cancer_Spine.csv,Yes
Cancer - Stomach,21_002323,CanBack,Aron Downie,Aurum,2024,,https://github.com/ndpchs-cprd/12-21-002323-CanBack/blob/main/Codelists/Cancer_Stomach.csv,Yes
Cancer - Testis,21_002323,CanBack,Aron Downie,Aurum,2024,,https://github.com/ndpchs-cprd/12-21-002323-CanBack/blob/main/Codelists/Cancer_Testis.csv,Yes
Cancer - Thoracic,21_002323,CanBack,Aron Downie,Aurum,2024,,https://github.com/ndpchs-cprd/12-21-002323-CanBack/blob/main/Codelists/Cancer_Thoracic.csv,Yes
Cancer - Thyroid,21_002323,CanBack,Aron Downie,Aurum,2024,,https://github.com/ndpchs-cprd/12-21-002323-CanBack/blob/main/Codelists/Cancer_Thyroid.csv,Yes
Cancer - Unspecified,21_002323,CanBack,Aron Downie,Aurum,2024,,https://github.com/ndpchs-cprd/12-21-002323-CanBack/blob/main/Codelists/Cancer_Unspecified.csv,Yes
Cancer - Uretine,21_002323,CanBack,Aron Downie,Aurum,2024,,https://github.com/ndpchs-cprd/12-21-002323-CanBack/blob/main/Codelists/Cancer_Uretine.csv,Yes
Cancer - Uterine,21_002323,CanBack,Aron Downie,Aurum,2024,,https://github.com/ndpchs-cprd/12-21-002323-CanBack/blob/main/Codelists/Cancer_Uterine.csv,Yes
Cancer - Vulvovaginal,21_002323,CanBack,Aron Downie,Aurum,2024,,https://github.com/ndpchs-cprd/12-21-002323-CanBack/blob/main/Codelists/Cancer_Vulvovaginal.csv,Yes
Aortic Valve Disease,21_002323,CanBack,Aron Downie,Aurum,2024,,https://github.com/ndpchs-cprd/12-21-002323-CanBack/blob/main/Codelists/Cardiovascular_Aortic_valve_D.csv,Yes
Atrial Fibrillation,21_002323,CanBack,Aron Downie,Aurum,2024,,https://github.com/ndpchs-cprd/12-21-002323-CanBack/blob/main/Codelists/Cardiovascular_Atrial_fibrilation.csv,Yes
Cardiac Failure,21_002323,CanBack,Aron Downie,Aurum,2024,,https://github.com/ndpchs-cprd/12-21-002323-CanBack/blob/main/Codelists/Cardiovascular_Cardiac_failure.csv,Yes
Stroke - Ischemic Heamorraghic,21_002323,CanBack,Aron Downie,Aurum,2024,,https://github.com/ndpchs-cprd/12-21-002323-CanBack/blob/main/Codelists/Cardiovascular_IschemicHeamorraghic_stroke.csv,Yes
Mitral Valve Disease,21_002323,CanBack,Aron Downie,Aurum,2024,,https://github.com/ndpchs-cprd/12-21-002323-CanBack/blob/main/Codelists/Cardiovascular_Mitral_valve_D.csv,Yes
"Myocardial Infarction, Angina, Ischemic Heart Disease",21_002323,CanBack,Aron Downie,Aurum,2024,,https://github.com/ndpchs-cprd/12-21-002323-CanBack/blob/main/Codelists/Cardiovascular_Myocardial_infarctionanginaischemic_heart_D.csv,Yes
Peripheral Vascular Disease,21_002323,CanBack,Aron Downie,Aurum,2024,,https://github.com/ndpchs-cprd/12-21-002323-CanBack/blob/main/Codelists/Cardiovascular_Peripheral_vascular_D.csv,Yes
"Thromosis, Embolism",21_002323,CanBack,Aron Downie,Aurum,2024,,https://github.com/ndpchs-cprd/12-21-002323-CanBack/blob/main/Codelists/Cardiovascular_Thrombosisembolism.csv,Yes
"Vessel atherosclerosis, Aneurysm, Stenosis",21_002323,CanBack,Aron Downie,Aurum,2024,,https://github.com/ndpchs-cprd/12-21-002323-CanBack/edit/main/Codelists/Cardiovascular_Vessel_atherosclerosisaneurysmstenosis.csv,Yes
Complex Regional Pain & Chronic Pain (Excluding Back Pain),21_002323,CanBack,Aron Downie,Aurum,2024,,https://github.com/ndpchs-cprd/12-21-002323-CanBack/blob/main/Codelists/Chronic_pain_syndrome_Complex_Regional_Pain_SChronic_pain_exclback_pain.csv,Yes
Fibromyalgia,21_002323,CanBack,Aron Downie,Aurum,2024,,https://github.com/ndpchs-cprd/12-21-002323-CanBack/blob/main/Codelists/Chronic_pain_syndrome_Fibromyalgia.csv,Yes
Diabetes - Type 1,21_002323,CanBack,Aron Downie,Aurum,2024,,https://github.com/ndpchs-cprd/12-21-002323-CanBack/blob/main/Codelists/Diabetes_Diabetes_Mellitus_I.csv,Yes
Diabetes - Type 2,21_002323,CanBack,Aron Downie,Aurum,2024,,https://github.com/ndpchs-cprd/12-21-002323-CanBack/blob/main/Codelists/Diabetes_Diabetes_Mellitus_II.csv,Yes
Diabetes Mellitus - Unclear,21_002323,CanBack,Aron Downie,Aurum,2024,,https://github.com/ndpchs-cprd/12-21-002323-CanBack/blob/main/Codelists/Diabetes_Diabetes_Mellitus_unclear.csv,Yes
Constipation,21_002323,CanBack,Aron Downie,Aurum,2024,,https://github.com/ndpchs-cprd/12-21-002323-CanBack/blob/main/Codelists/Digestive_Constipation.csv,Yes
Chrons Disease,21_002323,CanBack,Aron Downie,Aurum,2024,,https://github.com/ndpchs-cprd/12-21-002323-CanBack/blob/main/Codelists/Digestive_Crohns_D.csv,Yes
Duodenal Ulcer without Haemorrhage,21_002323,CanBack,Aron Downie,Aurum,2024,,https://github.com/ndpchs-cprd/12-21-002323-CanBack/blob/main/Codelists/Digestive_Duodenal_Ulcer_without_haemorrhage.csv,Yes
Gall Bladder Stone,21_002323,CanBack,Aron Downie,Aurum,2024,,https://github.com/ndpchs-cprd/12-21-002323-CanBack/blob/main/Codelists/Digestive_Gall_bladder_stone.csv,Yes
Gastric Ulcer,21_002323,CanBack,Aron Downie,Aurum,2024,,https://github.com/ndpchs-cprd/12-21-002323-CanBack/blob/main/Codelists/Digestive_Gastric_Ulcer.csv,Yes
Gastritis,21_002323,CanBack,Aron Downie,Aurum,2024,,https://github.com/ndpchs-cprd/12-21-002323-CanBack/blob/main/Codelists/Digestive_Gastritis.csv,Yes
Gastrointestinal Bleed,21_002323,CanBack,Aron Downie,Aurum,2024,,https://github.com/ndpchs-cprd/12-21-002323-CanBack/blob/main/Codelists/Digestive_Gastrointestinal_bleed.csv,Yes
Irritable Bowel Syndrome,21_002323,CanBack,Aron Downie,Aurum,2024,,https://github.com/ndpchs-cprd/12-21-002323-CanBack/blob/main/Codelists/Digestive_Irritable_Bowel_Syndrome.csv,Yes
Liver Disease,21_002323,CanBack,Aron Downie,Aurum,2024,,https://github.com/ndpchs-cprd/12-21-002323-CanBack/blob/main/Codelists/Digestive_Liver_Disease.csv,Yes
Ulcerative Colitis,21_002323,CanBack,Aron Downie,Aurum,2024,,https://github.com/ndpchs-cprd/12-21-002323-CanBack/blob/main/Codelists/Digestive_Ulcerative_Colitis.csv,Yes
Eating Disorders,21_002323,CanBack,Aron Downie,Aurum,2024,,https://github.com/ndpchs-cprd/12-21-002323-CanBack/blob/main/Codelists/Eating_disorders_Eating_disorders.csv,Yes
Benign Prostatic Hypertrophy,21_002323,CanBack,Aron Downie,Aurum,2024,,https://github.com/ndpchs-cprd/12-21-002323-CanBack/blob/main/Codelists/Genitourinary_Benign_Prostatic_Hypertrophy.csv,Yes
"Chronic Kidney Disease - Stage 3,4,5",21_002323,CanBack,Aron Downie,Aurum,2024,,https://github.com/ndpchs-cprd/12-21-002323-CanBack/blob/main/Codelists/Genitourinary_Chronic_Kidney_D_StageIII.csv,Yes
Dysmenorrhea,21_002323,CanBack,Aron Downie,Aurum,2024,,https://github.com/ndpchs-cprd/12-21-002323-CanBack/blob/main/Codelists/Genitourinary_Dysmenorrhoea.csv,Yes
Pelvic Inflammatory Disease (Female),21_002323,CanBack,Aron Downie,Aurum,2024,,https://github.com/ndpchs-cprd/12-21-002323-CanBack/blob/main/Codelists/Genitourinary_Female_Pelvic_Inflammatory_D.csv,Yes
Pelvic Pain,21_002323,CanBack,Aron Downie,Aurum,2024,,https://github.com/ndpchs-cprd/12-21-002323-CanBack/blob/main/Codelists/Genitourinary_Pelvic_pain.csv,Yes
Renal Stone,21_002323,CanBack,Aron Downie,Aurum,2024,,https://github.com/ndpchs-cprd/12-21-002323-CanBack/blob/main/Codelists/Genitourinary_Renal_stone.csv,Yes
Hypertension,21_002323,CanBack,Aron Downie,Aurum,2024,,https://github.com/ndpchs-cprd/12-21-002323-CanBack/blob/main/Codelists/Hypertension_Hypertension.csv,Yes
Migraine,21_002323,CanBack,Aron Downie,Aurum,2024,,https://github.com/ndpchs-cprd/12-21-002323-CanBack/blob/main/Codelists/Migraine_Migraine.csv,Yes
Neck Pain,21_002323,CanBack,Aron Downie,Aurum,2024,,https://github.com/ndpchs-cprd/12-21-002323-CanBack/blob/main/Codelists/Neck_pain_Neck_pain.csv,Yes
Dementia,21_002323,CanBack,Aron Downie,Aurum,2024,,https://github.com/ndpchs-cprd/12-21-002323-CanBack/blob/main/Codelists/Neurological_Dementia.csv,Yes
Multiple Sclerosis (MS),21_002323,CanBack,Aron Downie,Aurum,2024,,https://github.com/ndpchs-cprd/12-21-002323-CanBack/blob/main/Codelists/Neurological_Multiple_Sclerosis.csv,Yes
Parkinson's Disease,21_002323,CanBack,Aron Downie,Aurum,2024,,https://github.com/ndpchs-cprd/12-21-002323-CanBack/blob/main/Codelists/Neurological_Parkinsons_D.csv,Yes
Neuraliga Postherpetic & Trigemincal,21_002323,CanBack,Aron Downie,Aurum,2024,,https://github.com/ndpchs-cprd/12-21-002323-CanBack/blob/main/Codelists/Neuropathic_pain_Neuraliga_PostherpeticTrigeminal.csv,Yes
